,review,sentiment
0,quite happy with  the service.  overall a very good experience.  well packed and the delivered,Postive
1,Overall Awesome experience with porter 😇,Postive
2,"1)More UPI payment options in or through the app.
2.)Show previous/completed orders/services in my profile with customer support to that order/service directly.
3.)Add more options(items) for shifting on the app/have a search option for items ",Postive
3,"Good work, satisfied with portar, Especially supervisor job is good",Postive
4,Good keep going,Postive
5,"Good service, Staff behavior excellent",Postive
6,Very nice ,Postive
7,Very good ,Postive
8,All good ,Postive
9,"The guys were very quick and neat in packing, i liked that reusable materials are used for package",Postive
10,Unpacking was disaggreed,Postive
11,Great work ,Postive
12,Very good service by Sohail & team from porter & very reasonable charge. Loved the experience. Will definitely recommend to friend & family ,Postive
13,GREAT OF AMAZING STAFF YOU ARE THE GREATEST  OF AMAZING TEAM SERVICE AND  VERY BEST MATERIAL AND VERY GOOD PACKING LOADING AND UNLOADING THANKS TO PORTER I AM HAPPY THIS SERVICE ,Postive
14,Nice crew and better handling of materials. Appreciate efforts of Porter.com,Postive
15,Additional services of installation ,Postive
16, Good job  loved the experience ,Postive
17,Not able to see latest order in app,Postive
18,"Excellent service as usual. 
This is the 3rd time, I have used the services of Porter. 
Service people are very helpful to keep all my essential with high care. 
No issues with them. 
Extremely happy and satisfied  with Porter!! 🤗🤗",Postive
19,good service ,Postive
20,All good,Postive
21,Good,Postive
22,Good,Postive
23,U are very good ,Postive
24,Excellent services and good staff,Postive
25,Crew members were very good. ,Postive
26,"When we are buying n keeping the cartons, new carton boxes should be given",Postive
27,Reduce price. I feel i paid a lot for 500 meter shiftin,Postive
28,Awesome service,Postive
29,Everything is nice I am happy thank you d,Postive
30,The team was good and timely shifting ,Postive
31,"Location nearby in online dialogue boxes mostly not available. Example in my case 13th Street thillai ganga Nagar.(only Ram nagar).and most people not aware online services. Other wise your  services are. Thanks.
",Postive
32,Good crew and were very helpful,Postive
33,Overall happy experience,Postive
34,Best service ,Postive
35,Very good team and handled the packing delivery both in a very good manner ,Postive
36,Siddharth and his team were highly professional and did  the job efficiently,Postive
37,Everything was good,Postive
38,Very professional behaviour and good communication ,Postive
39,Actually nice! Na kooda bayandhute irundha epdi kondu povanga nu but superb ah panitanga 3 peru vandhanga nalla pananga very happy :) idhe mari epovum irundha nalla irukum 👍🔥,Postive
40,No issue with service. Awesome service provided by porter.,Postive
41,Thanks for the support,Postive
42,Partners ask for additional tips. Had to be told for every item to be packed properly. Especially fragile items,Postive
43,Not able to change the timing ,Postive
44,Nice Service ,Postive
45,"All good, it would be great if charges are less. ",Postive
46,The service was very good..owner himself was present end to end. He was very supportive and helped in arranging luggage. He explained so many aspect about packaging. Provided solutions to many problem.,Postive
47,Everything was great entire process of shifting was very smooth. Timely resolution of issues and porters customer service is great they are always available for any assistance required. Only issue with AC installation process and technicians other than that it was a great experience. Our movement co ordinator/ vender Rahul was very helpful and professional.,Postive
48,Thanks,Postive
49,👍,Postive
50,Good service totally,Postive
51,Amol was very supportive ,Postive
52,Good just need to improve the clearity while booking becz there is no option for few small items for which the shifting person may charge extra for it.,Postive
53,Small vehicle was sent which took more time to arrange and fit in the vehicle for all items. Have left few items back and need to carry in own vehicle. ,Postive
54,Great work ,Postive
55,"The delivery crew was very Professional and they waited patiently for me to come and start packing. What I liked was, the delivery was done at the time for which it was promised",Postive
56,"You can work on customise plans where prrson dosent have to take things which he dont require it. Also, you must ask some executive to visit the location and take the judgement of the things and then share the quotation as it is not affortable to pay the increased quote at the last moment.",Postive
57,Good fast service thank you,Postive
58,Nice service,Postive
59,Please give more discounts ,Postive
60,Mention more materials think like middle class family add more items inthe selection list and remaining all is good 😊,Postive
61,Good  crew behaviour ,Postive
62,Crew behaviour was great. Extremely sweet and professional in getting the work done.,Postive
63,Great platform,Postive
64,Great platform,Postive
65,Pls update your order booking checklist and try to proactively provide best possible estimate where deviation in actuals remains in range of 10% of estimated quote,Postive
66,"Do not believe on vendor, do not increase rate",Postive
67,Crew has done a good job in delivering the thing’s safely to the destination,Postive
68,Everything is fine. Type of materials like big stools and show cases can be listed in packing materials list.,Postive
69,"Overall it was a good experience, The cost you charge for the order is high and only 2 persons were alloted which was not enough to shift the heavy items. They tried to deliver their 100%. But at the end they are also humans. So that's the one suggestion I have for the porter to deploy more persons as per the size of order.",Postive
70,"I'm very happy,crew members behaviour like a family member very honest people hardworking members.",Postive
71,Please selling cartons also,Postive
72,Charged extra amount after dilivery of home stuff. This is my first and last order to Porter. As you people are in home shifting business there might be increase or decrease amount of material to be shifted. If u are billing in such a manner then no one will keep faith in you. ,Postive
73,Overall experience was good,Postive
74,Great services ,Postive
75,Porter crew were very good polite. Packing and moving process was timely.,Postive
76,Very good home shifting ,Postive
77,"Excellent work,keep rocking ",Postive
78,"Should be on time  incase emergency, inform customers what they are going to do.",Postive
79,Very professional packing and moving. Highly recommended. ,Postive
80,Excellent job ,Postive
81,The shifting was very easy & convenient,Postive
82,"Ok, i had shifted only dinning table , basis that the overall exp was good ",Postive
83,"Mr. Deepak, who was our assigned crew person reached the pickup place very timely. He managed all the packaging and delivery process seamlessly. The fridge, washing machine, and microwave over were packed gently with enough layers for protection. Really glad with the service, highly recommend!",Postive
84,"time slots are given only 2, actually we were looking for 3pm arrival, we understand it may be night and could have few obstacles during transition … as the customer time slot not given and it’s auto time popping, in this case you may ask porter guys to come at customer said time in lieu of selected time . when i called portal guys to come at 3pm they were hesitant in coming at my time by saying M&P want us at selected time onky… which is not appreciated as customer wants his time to get things packed not M&P",Postive
85,Good service ,Postive
86,Service was good,Postive
87,Happy.,Postive
88,Overall good experience.,Postive
89,"Furniture damage, you should refund the damage amount",Postive
